Reaction;Count;Indexes;Detail
('O', 1);1854;[9, 13, 14, 20, 27, 28, 30, 31, 32, 35, 36, 38, 39, 59, 62, 65, 66, 71, 72, 82, 83, 84, 100, 101, 102, 103, 104, 105, 121, 138, 139, 143, 144, 147, 149, 170, 171, 177, 178, 180, 190, 195, 196, 203, 204, 205, 211, 212, 216, 217, 218, 219, 220, 221, 223, 226, 227, 228, 239, 240, 251, 252, 253, 254, 260, 263, 269, 277, 278, 287, 288, 291, 299, 300, 301, 302, 303, 304, 305, 306, 311, 313, 314, 315, 316, 317, 319, 336, 349, 350, 353, 354, 358, 359, 361, 364, 373, 374, 375, 376, 387, 389, 391, 400, 402, 404, 422, 424, 426, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 451, 467, 468, 470, 476, 478, 491, 494, 513, 514, 515, 523, 525, 527, 530, 531, 533, 570, 574, 575, 576, 578, 589, 590, 602, 603, 609, 611, 612, 613, 625, 628, 630, 632, 636, 637, 638, 639, 640, 641, 642, 652, 654, 656, 665, 667, 669, 677, 678, 679, 680, 681, 682, 684, 685, 688, 690, 691, 692, 700, 703, 706, 721, 724, 725, 726, 727, 728, 729, 730, 731, 741, 742, 745, 746, 747, 751, 753, 756, 768, 770, 772, 773, 774, 775, 776, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 794, 797, 798, 799, 800, 801, 802, 806, 810, 811, 812, 813, 814, 815, 818, 819, 822, 823, 824, 825, 826, 827, 828, 834, 842, 844, 845, 846, 847, 849, 853, 859, 860, 862, 863, 865, 866, 867, 868, 869, 870, 882, 883, 887, 888, 889, 890, 891, 892, 895, 896, 897, 905, 906, 907, 908, 909, 910, 911, 912, 913, 914, 915, 926, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 950, 951, 952, 953, 954, 955, 957, 958, 959, 960, 969, 970, 971, 972, 973, 974, 976, 977, 978, 979, 980, 981, 985, 991, 992, 994, 995, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1014, 1015, 1016, 1017, 1018, 1019, 1020, 1028, 1033, 1034, 1035, 1036, 1037, 1038, 1039, 1040, 1041, 1042, 1043, 1045, 1046, 1047, 1048, 1049, 1050, 1058, 1063, 1064, 1065, 1066, 1067, 1068, 1069, 1070, 1071, 1072, 1073, 1075, 1076, 1077, 1078, 1079, 1080, 1089, 1090, 1091, 1092, 1093, 1094, 1096, 1097, 1098, 1099, 1108, 1109, 1110, 1111, 1112, 1113, 1115, 1116, 1117, 1118, 1120, 1121, 1123, 1124, 1125, 1126, 1127, 1135, 1140, 1141, 1142, 1143, 1144, 1145, 1146, 1147, 1148, 1149, 1150, 1152, 1153, 1154, 1155, 1156, 1157, 1166, 1167, 1168, 1169, 1170, 1171, 1173, 1174, 1175, 1176, 1177, 1179, 1181, 1183, 1184, 1185, 1186, 1187, 1189, 1190, 1199, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1216, 1217, 1218, 1219, 1220, 1221, 1230, 1231, 1232, 1233, 1234, 1235, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1258, 1260, 1262, 1264, 1265, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1273, 1274, 1275, 1276, 1277, 1278, 1279, 1280, 1281, 1282, 1283, 1284, 1285, 1297, 1298, 1299, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1318, 1320, 1321, 1322, 1323, 1324, 1325, 1326, 1328, 1329, 1330, 1331, 1332, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1362, 1364, 1365, 1370, 1371, 1373, 1374, 1376, 1377, 1379, 1380, 1383, 1384, 1389, 1397, 1398, 1400, 1401, 1409, 1411, 1414, 1420, 1422, 1434, 1435, 1436, 1437, 1438, 1439, 1447, 1450, 1452, 1453, 1454, 1455, 1457, 1463, 1464, 1465, 1466, 1467, 1468, 1469, 1475, 1483, 1485, 1486, 1488, 1489, 1490, 1491, 1492, 1493, 1494, 1495, 1497, 1499, 1501, 1502, 1503, 1504, 1505, 1508, 1509, 1510, 1511, 1512, 1513, 1514, 1515, 1516, 1518, 1519, 1528, 1530, 1532, 1533, 1534, 1535, 1537, 1539, 1540, 1541, 1542, 1543, 1544, 1545, 1546, 1547, 1548, 1549, 1550, 1551, 1552, 1553, 1555, 1556, 1557, 1558, 1559, 1562, 1563, 1564, 1566, 1570, 1571, 1573, 1574, 1575, 1576, 1577, 1578, 1579, 1581, 1585, 1586, 1588, 1589, 1590, 1591, 1592, 1593, 1594, 1595, 1596, 1598, 1601, 1602, 1606, 1608, 1609, 1610, 1612, 1614, 1616, 1617, 1618, 1619, 1620, 1621, 1622, 1623, 1624, 1625, 1626, 1627, 1631, 1632, 1633, 1634, 1635, 1636, 1638, 1639, 1640, 1641, 1642, 1643, 1644, 1645, 1646, 1647, 1648, 1649, 1650, 1651, 1652, 1653, 1654, 1658, 1659, 1660, 1662, 1676, 1677, 1678, 1679, 1680, 1681, 1683, 1684, 1685, 1686, 1687, 1688, 1689, 1690, 1692, 1693, 1694, 1695, 1696, 1697, 1698, 1699, 1700, 1701, 1702, 1703, 1704, 1705, 1706, 1707, 1708, 1709, 1710, 1725, 1730, 1734, 1736, 1738, 1739, 1740, 1741, 1742, 1744, 1750, 1751, 1753, 1754, 1756, 1757, 1758, 1759, 1760, 1763, 1771, 1772, 1773, 1774, 1775, 1778, 1780, 1785, 1786, 1787, 1788, 1789, 1790, 1791, 1792, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1801, 1805, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1820, 1825, 1826, 1827, 1828, 1829, 1830, 1831, 1832, 1833, 1834, 1835, 1837, 1838, 1839, 1840, 1841, 1842, 1843, 1848, 1849, 1862, 1868, 1869, 1871, 1873, 1879, 1884, 1885, 1886, 1888, 1900, 1902, 1904, 1912, 1914, 1916, 1917, 1918, 1919, 1920, 1922, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1946, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1972, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1989, 1990, 1991, 1992, 1993, 1994, 2002, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023, 2024, 2033, 2034, 2035, 2036, 2037, 2038, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2049, 2052, 2055, 2056, 2076, 2080, 2082, 2084, 2085, 2086, 2087, 2088, 2089, 2090, 2091, 2092, 2093, 2094, 2095, 2096, 2097, 2098, 2100, 2102, 2103, 2104, 2105, 2106, 2107, 2108, 2109, 2110, 2111, 2112, 2113, 2114, 2115, 2116, 2117, 2118, 2119, 2121, 2122, 2125, 2126, 2130, 2131, 2132, 2133, 2134, 2135, 2136, 2137, 2138, 2145, 2146, 2147, 2148, 2154, 2155, 2156, 2157, 2164, 2165, 2166, 2167, 2168, 2173, 2174, 2179, 2180, 2181, 2182, 2189, 2190, 2197, 2199, 2201, 2203, 2205, 2231, 2233, 2235, 2239, 2241, 2244, 2245, 2246, 2247, 2248, 2250, 2252, 2254, 2261, 2269, 2274, 2275, 2276, 2277, 2278, 2279, 2280, 2281, 2282, 2283, 2284, 2286, 2287, 2288, 2289, 2290, 2291, 2295, 2296, 2304, 2306, 2308, 2309, 2310, 2311, 2313, 2317, 2318, 2320, 2321, 2322, 2323, 2324, 2325, 2326, 2328, 2329, 2330, 2331, 2332, 2333, 2334, 2335, 2336, 2338, 2339, 2340, 2341, 2342, 2343, 2344, 2345, 2346, 2347, 2348, 2349, 2357, 2362, 2363, 2364, 2365, 2366, 2367, 2368, 2369, 2370, 2371, 2372, 2374, 2375, 2376, 2377, 2378, 2379, 2381, 2382, 2383, 2384, 2385, 2387, 2389, 2390, 2391, 2392, 2393, 2394, 2396, 2397, 2398, 2399, 2400, 2401, 2402, 2403, 2404, 2405, 2406, 2407, 2408, 2409, 2410, 2412, 2414, 2415, 2416, 2417, 2418, 2419, 2420, 2421, 2422, 2423, 2424, 2425, 2426, 2427, 2428, 2429, 2430, 2431, 2432, 2434, 2436, 2437, 2438, 2439, 2440, 2441, 2442, 2443, 2444, 2445, 2446, 2447, 2448, 2450, 2452, 2453, 2454, 2455, 2456, 2457, 2458, 2460, 2470, 2472, 2474, 2475, 2476, 2479, 2484, 2490, 2491, 2493, 2494, 2495, 2497, 2500, 2505, 2506, 2529, 2531, 2533, 2534, 2535, 2539, 2551, 2552, 2553, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2563, 2571, 2573, 2575, 2583, 2585, 2600, 2602, 2619, 2621, 2622, 2623, 2625, 2626, 2628, 2629, 2630, 2631, 2633, 2635, 2637, 2638, 2639, 2640, 2641, 2642, 2643, 2644, 2645, 2646, 2647, 2648, 2653, 2658, 2663, 2664, 2665, 2666, 2667, 2668, 2673, 2678, 2690, 2703, 2706, 2715, 2718, 2721, 2722, 2725, 2727, 2729, 2730, 2731, 2732, 2733, 2749, 2750, 2751, 2752, 2753, 2754, 2756, 2757, 2758, 2759, 2767, 2772, 2773, 2774, 2775, 2776, 2777, 2778, 2779, 2780, 2781, 2782, 2784, 2785, 2786, 2787, 2788, 2789, 2790, 2791, 2793, 2794, 2802, 2803, 2805, 2806, 2807, 2812, 2814, 2817, 2819, 2821, 2830, 2831, 2832, 2833, 2834, 2835, 2837, 2838, 2839, 2840, 2842, 2850, 2852, 2854, 2862, 2864, 2865, 2866, 2867, 2869, 2884, 2886, 2888, 2905, 2951, 2952, 2964, 2965, 2966, 2980, 2981, 2982, 2983, 2984, 2985, 2987, 2988, 2989, 2990, 2998, 3003, 3004, 3005, 3006, 3007, 3008, 3009, 3010, 3011, 3012, 3013, 3015, 3016, 3017, 3018, 3019, 3020, 3026, 3032, 3033, 3042, 3043, 3044, 3045, 3046, 3047, 3049, 3050, 3051, 3052, 3053, 3054, 3055, 3056, 3057, 3059, 3067, 3069, 3070, 3073, 3074, 3075, 3077, 3081, 3082, 3083, 3084, 3085, 3086, 3087, 3088, 3089, 3090, 3091, 3095, 3096, 3097, 3106, 3107, 3108, 3109, 3110, 3111, 3113, 3114, 3115, 3116, 3117, 3118, 3119, 3120, 3121, 3122, 3124, 3126, 3128, 3129, 3130, 3131, 3132, 3133, 3142, 3143, 3144, 3146, 3147, 3148, 3149, 3150, 3151, 3152, 3154, 3156, 3157, 3158, 3159, 3160, 3161, 3162, 3164, 3166, 3167, 3168, 3169, 3170, 3171, 3172, 3173, 3175, 3178, 3179, 3180, 3181, 3183, 3191, 3193, 3194, 3196, 3197, 3198, 3208, 3209, 3210, 3212, 3213, 3214, 3215, 3216, 3217, 3218, 3221, 3227, 3228, 3229, 3233, 3234, 3235, 3238, 3239, 3240, 3241, 3242, 3243, 3244, 3252, 3257, 3258, 3259, 3260, 3261, 3262, 3263, 3264, 3265, 3266, 3267, 3269, 3270, 3271, 3272, 3273, 3274, 3276, 3279, 3280, 3281, 3282, 3283, 3284, 3287, 3288, 3299, 3300, 3306, 3307, 3310, 3311, 3312, 3313, 3314, 3315, 3316, 3317, 3318, 3319, 3320, 3321, 3323, 3325, 3326, 3331, 3333, 3339, 3340, 3341, 3342, 3343, 3345, 3347, 3348, 3349, 3351, 3352, 3353, 3354, 3355, 3364, 3366, 3368, 3369, 3370, 3376, 3377, 3379, 3380, 3381, 3383, 3384, 3385, 3387, 3388, 3389, 3391, 3394, 3395, 3398, 3399, 3400, 3401, 3402, 3403, 3404, 3405, 3406, 3407, 3410, 3412, 3414, 3417, 3419, 3422, 3425, 3427, 3429, 3430, 3431, 3432, 3433, 3435, 3437, 3439, 3440, 3441, 3442, 3443, 3445, 3447, 3449, 3450, 3451, 3452, 3453, 3455, 3458, 3466, 3468, 3472, 3478, 3479, 3482, 3483, 3484, 3486, 3487, 3488, 3489, 3490, 3491, 3492, 3493, 3496, 3497, 3498, 3499, 3501, 3502, 3503, 3504, 3505, 3507, 3509, 3511, 3512, 3513, 3514, 3515, 3516, 3520, 3521, 3522, 3523, 3524, 3525, 3526, 3533, 3534, 3535, 3536, 3537, 3540, 3545, 3547, 3551, 3553, 3555, 3557, 3559, 3561, 3573, 3578, 3579, 3580, 3582, 3583, 3586, 3588, 3590, 3591, 3592, 3593, 3594, 3597, 3599, 3603, 3611, 3616, 3617, 3618, 3619, 3621, 3623, 3628, 3631, 3632, 3633, 3634, 3636, 3637, 3638, 3639, 3641, 3645, 3646, 3648, 3649, 3650, 3651, 3652, 3653, 3654, 3655, 3656, 3661, 3665, 3667, 3668, 3672, 3673, 3674, 3678, 3683, 3686, 3688, 3690, 3694, 3696, 3701, 3702, 3703, 3705, 3706, 3707, 3708, 3710, 3712, 3714, 3715, 3716, 3717, 3718, 3720, 3722, 3724, 3725, 3726, 3727, 3728, 3730, 3731, 3732, 3733, 3734, 3735, 3736, 3737, 3738, 3739, 3740, 3741, 3742, 3747, 3752, 3753, 3755, 3756, 3757, 3758, 3774, 3777, 3778, 3780, 3805, 3806, 3809, 3810, 3811, 3812, 3813, 3814, 3815, 3817, 3819, 3821, 3822, 3823, 3824, 3825, 3827, 3828, 3831, 3832, 3833, 3834, 3836, 3837, 3838, 3839, 3843, 3844, 3850, 3852, 3855, 3856, 3857, 3858, 3866, 3867, 3868, 3869, 3870, 3871, 3876, 3877, 3878, 3888, 3890, 3892, 3935, 3952, 3966, 3967, 3968, 3969, 3970, 3971, 3972, 3974, 3975, 3976, 3977, 3978, 3979, 3980, 3982, 3983, 3984, 3985, 3986, 3989, 3990, 3991, 3992, 3993, 3994, 3996, 3997, 3998, 3999, 4000, 4001, 4002, 4006, 4007, 4008, 4010, 4011, 4012, 4016, 4023, 4024, 4025, 4037, 4044, 4046, 4047, 4049, 4055, 4056, 4072, 4073];
('O', 2, 'epoxidation');313;[42, 209, 210, 238, 297, 298, 458, 502, 503, 504, 505, 506, 507, 508, 509, 510, 511, 512, 532, 817, 851, 945, 947, 948, 949, 964, 966, 967, 968, 1024, 1025, 1027, 1029, 1030, 1031, 1032, 1054, 1055, 1057, 1059, 1060, 1061, 1062, 1084, 1086, 1087, 1088, 1103, 1105, 1106, 1107, 1131, 1132, 1134, 1136, 1137, 1138, 1139, 1161, 1163, 1164, 1165, 1195, 1196, 1198, 1200, 1201, 1202, 1203, 1225, 1227, 1228, 1229, 1286, 1287, 1288, 1289, 1290, 1291, 1292, 1293, 1294, 1295, 1296, 1300, 1301, 1302, 1303, 1304, 1333, 1334, 1335, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1432, 1433, 1440, 1441, 1442, 1443, 1444, 1445, 1448, 1449, 1451, 1470, 1471, 1472, 1473, 1474, 1476, 1478, 1479, 1481, 1482, 1484, 1487, 1600, 1628, 1629, 1630, 1664, 1671, 1673, 1674, 1675, 1714, 1715, 1716, 1717, 1718, 1719, 1720, 1721, 1722, 1723, 1724, 1776, 1777, 1779, 1781, 1782, 1783, 1784, 1816, 1817, 1819, 1821, 1822, 1823, 1824, 1924, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1968, 1969, 1971, 1973, 1974, 1975, 1976, 1998, 1999, 2001, 2003, 2004, 2005, 2006, 2028, 2030, 2031, 2032, 2048, 2050, 2051, 2053, 2054, 2169, 2170, 2171, 2172, 2175, 2176, 2177, 2178, 2265, 2266, 2268, 2270, 2271, 2272, 2273, 2353, 2354, 2356, 2358, 2359, 2360, 2361, 2504, 2547, 2548, 2549, 2550, 2696, 2697, 2698, 2699, 2700, 2701, 2704, 2705, 2707, 2708, 2709, 2710, 2711, 2712, 2713, 2716, 2717, 2719, 2744, 2746, 2747, 2748, 2763, 2764, 2766, 2768, 2769, 2770, 2771, 2825, 2827, 2828, 2829, 2975, 2977, 2978, 2979, 2994, 2995, 2997, 2999, 3000, 3001, 3002, 3037, 3039, 3040, 3041, 3101, 3103, 3104, 3105, 3138, 3139, 3140, 3141, 3165, 3177, 3203, 3204, 3205, 3206, 3207, 3231, 3248, 3249, 3251, 3253, 3254, 3255, 3256, 3296, 3397, 3469, 3473, 3480, 3481, 3494, 3495, 3612, 3662, 3743, 3744, 3745, 3746, 3748, 3749, 3750, 3751, 3763, 3764, 3973, 3995, 4071];
('O', 1, 'O', 2);301;[29, 58, 63, 68, 69, 73, 74, 85, 86, 87, 88, 89, 90, 125, 126, 128, 129, 131, 132, 151, 152, 169, 181, 182, 183, 184, 194, 215, 225, 279, 280, 284, 285, 312, 318, 326, 339, 348, 351, 352, 360, 362, 380, 381, 385, 393, 394, 398, 415, 416, 420, 459, 479, 480, 481, 482, 483, 516, 517, 521, 577, 605, 607, 608, 610, 622, 623, 626, 633, 634, 635, 643, 644, 645, 646, 650, 658, 659, 663, 689, 701, 704, 761, 762, 766, 793, 835, 836, 840, 854, 855, 956, 975, 1013, 1044, 1074, 1095, 1114, 1151, 1172, 1215, 1236, 1319, 1348, 1395, 1403, 1404, 1408, 1415, 1418, 1446, 1458, 1459, 1521, 1522, 1526, 1554, 1565, 1567, 1568, 1569, 1572, 1580, 1582, 1583, 1584, 1587, 1607, 1637, 1682, 1745, 1746, 1755, 1836, 1863, 1864, 1893, 1894, 1898, 1905, 1906, 1910, 1988, 2018, 2039, 2066, 2099, 2101, 2196, 2198, 2200, 2202, 2204, 2230, 2232, 2234, 2236, 2238, 2240, 2242, 2249, 2253, 2285, 2297, 2298, 2302, 2312, 2314, 2315, 2316, 2319, 2327, 2373, 2386, 2388, 2395, 2411, 2413, 2433, 2435, 2449, 2451, 2459, 2463, 2464, 2468, 2498, 2501, 2522, 2523, 2527, 2554, 2564, 2565, 2569, 2576, 2577, 2581, 2586, 2595, 2598, 2669, 2670, 2702, 2714, 2755, 2783, 2795, 2796, 2797, 2798, 2813, 2836, 2843, 2844, 2848, 2855, 2856, 2860, 2877, 2878, 2882, 2890, 2906, 2953, 2954, 2986, 3014, 3027, 3028, 3048, 3060, 3061, 3065, 3076, 3078, 3112, 3145, 3153, 3155, 3163, 3184, 3185, 3189, 3195, 3211, 3222, 3223, 3268, 3298, 3305, 3308, 3309, 3334, 3335, 3344, 3356, 3357, 3358, 3362, 3415, 3420, 3421, 3459, 3460, 3464, 3500, 3538, 3539, 3543, 3548, 3549, 3562, 3563, 3564, 3565, 3566, 3567, 3581, 3622, 3627, 3640, 3642, 3643, 3644, 3647, 3684, 3691, 3692, 3693, 3761, 3762, 3880, 3881, 3882, 3886, 4013, 4014, 4031, 4063, 4075];
('O', 2, 'O', 1, 'O', 2);131;[534, 807, 942, 943, 944, 946, 961, 962, 963, 965, 1021, 1022, 1023, 1026, 1051, 1052, 1053, 1056, 1081, 1082, 1083, 1085, 1100, 1101, 1102, 1104, 1128, 1129, 1130, 1133, 1158, 1159, 1160, 1162, 1192, 1193, 1194, 1197, 1222, 1223, 1224, 1226, 1668, 1669, 1670, 1672, 1726, 1813, 1814, 1815, 1818, 1844, 1874, 1889, 1965, 1966, 1967, 1970, 1995, 1996, 1997, 2000, 2025, 2026, 2027, 2029, 2262, 2263, 2264, 2267, 2350, 2351, 2352, 2355, 2540, 2543, 2544, 2545, 2546, 2654, 2659, 2674, 2741, 2742, 2743, 2745, 2760, 2761, 2762, 2765, 2822, 2823, 2824, 2826, 2972, 2973, 2974, 2976, 2991, 2992, 2993, 2996, 3034, 3035, 3036, 3038, 3092, 3098, 3099, 3100, 3102, 3134, 3135, 3136, 3137, 3199, 3200, 3201, 3202, 3245, 3246, 3247, 3250, 3607, 3608, 3609, 3610, 3657, 3658, 3659, 3660];
('C', 1);94;[61, 295, 296, 386, 388, 390, 399, 401, 403, 421, 423, 425, 522, 524, 526, 651, 653, 655, 664, 666, 668, 767, 769, 771, 833, 841, 843, 1345, 1391, 1410, 1412, 1413, 1419, 1421, 1527, 1529, 1531, 1899, 1901, 1903, 1911, 1913, 1915, 2161, 2163, 2259, 2260, 2303, 2305, 2307, 2469, 2471, 2473, 2528, 2530, 2532, 2562, 2570, 2572, 2574, 2582, 2584, 2599, 2601, 2740, 2841, 2849, 2851, 2853, 2861, 2863, 2883, 2885, 2887, 2968, 3058, 3066, 3068, 3072, 3182, 3190, 3192, 3285, 3363, 3365, 3367, 3382, 3457, 3465, 3467, 3846, 3887, 3889, 3891];
('C', 3, 'O', 2);86;[382, 383, 384, 395, 396, 397, 417, 418, 419, 518, 519, 520, 647, 648, 649, 660, 661, 662, 763, 764, 765, 837, 838, 839, 852, 1405, 1406, 1407, 1416, 1417, 1456, 1523, 1524, 1525, 1743, 1861, 1895, 1896, 1897, 1907, 1908, 1909, 2299, 2300, 2301, 2465, 2466, 2467, 2524, 2525, 2526, 2566, 2567, 2568, 2578, 2579, 2580, 2596, 2597, 2845, 2846, 2847, 2857, 2858, 2859, 2879, 2880, 2881, 3025, 3062, 3063, 3064, 3186, 3187, 3188, 3220, 3332, 3359, 3360, 3361, 3461, 3462, 3463, 3883, 3884, 3885];
('C', 1, 'C', 4, 'O', 2, 'O', 1, 'O', 2);64;[893, 894, 929, 930, 1178, 1180, 1182, 1259, 1261, 1263, 1496, 1498, 1500, 1506, 1507, 1611, 1613, 1615, 1733, 1735, 1737, 1761, 1762, 2074, 2075, 2079, 2081, 2083, 2632, 2634, 2636, 2724, 2726, 2728, 3123, 3125, 3127, 3424, 3426, 3428, 3434, 3436, 3438, 3444, 3446, 3448, 3506, 3508, 3510, 3531, 3532, 3585, 3587, 3589, 3704, 3709, 3711, 3713, 3719, 3721, 3723, 3816, 3818, 3820];
('O', 2, 'oxidation');55;[37, 40, 67, 70, 80, 81, 127, 130, 133, 231, 327, 363, 624, 627, 629, 631, 705, 848, 850, 1317, 1327, 1597, 1599, 1661, 1663, 1921, 1923, 1945, 1947, 2243, 2811, 2818, 2903, 2904, 2949, 3174, 3176, 3392, 3413, 3416, 3418, 3544, 3546, 3550, 3552, 3554, 3556, 3558, 3560, 3682, 3685, 3687, 3689, 3759, 4020];
('C', 1, 'O', 2, 'O', 1);48;[820, 821, 857, 858, 927, 928, 1461, 1462, 1604, 1605, 1656, 1657, 1748, 1749, 1866, 1867, 2077, 2078, 2128, 2129, 2139, 2140, 2141, 2142, 2143, 2144, 2649, 2650, 2651, 2652, 3030, 3031, 3225, 3226, 3293, 3294, 3337, 3338, 3518, 3519, 3527, 3528, 3529, 3530, 3595, 3596, 3987, 3988];
ring;42;[176, 292, 330, 343, 344, 345, 346, 365, 452, 579, 580, 588, 686, 717, 718, 1357, 1358, 1360, 1361, 1729, 1847, 1877, 1892, 2257, 2258, 2662, 2677, 2735, 2736, 2737, 2738, 2870, 2909, 2910, 2911, 2912, 3572, 3614, 3664, 4061, 4062, 4074];
